;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
132;Acre;Urbana;Estadual;94,9;82,3;3,7;14,4;1,4;3,3
133;Acre;Rural;Estadual;97,5;94,5;0,6;1,3;1,9;4,2
134;Acre;Total;Municipal;96,7;;0,9;;2,4;
135;Acre;Urbana;Municipal;97,0;;0,5;;2,5;
136;Acre;Rural;Municipal;96,4;;1,3;;2,3;
137;Acre;Total;Privada;99,2;99,5;0,1;0,1;0,7;0,4
138;Acre;Urbana;Privada;99,2;99,5;0,1;0,1;0,7;0,4
139;Acre;Total;Pública;96,1;85,4;2,1;11,1;1,8;3,5
140;Acre;Urbana;Pública;95,6;82,4;2,6;14,3;1,8;3,3
141;Acre;Rural;Pública;97,0;94,5;1,0;1,3;2,0;4,2
142;Amazonas;Total;Total;98,7;98,5;0,5;1,4;0,8;0,1
143;Amazonas;Urbana;Total;99,3;98,6;0,4;1,3;0,3;0,1
144;Amazonas;Rural;Total;97,1;97,7;1,0;1,8;1,9;0,5
145;Amazonas;Total;Federal;99,0;87,0;1,0;12,7;0,0;0,3
146;Amazonas;Urbana;Federal;99,0;87,1;1,0;12,5;0,0;0,4
147;Amazonas;Rural;Federal;;85,6;;14,4;;0,0
148;Amazonas;Total;Estadual;99,6;98,8;0,4;1,0;0,0;0,2
149;Amazonas;Urbana;Estadual;99,7;99,0;0,3;0,9;0,0;0,1
150;Amazonas;Rural;Estadual;98,1;98,0;1,9;1,6;0,0;0,4
151;Amazonas;Total;Municipal;98,3;;0,6;;1,1;
152;Amazonas;Urbana;Municipal;99,1;;0,4;;0,5;
153;Amazonas;Rural;Municipal;97,0;;1,0;;2,0;
154;Amazonas;Total;Privada;98,0;98,4;0,5;1,3;1,5;0,3
155;Amazonas;Urbana;Privada;98,0;98,4;0,5;1,3;1,5;0,3
156;Amazonas;Rural;Privada;100,0;100,0;0,0;0,0;0,0;0,0
157;Amazonas;Total;Pública;98,8;98,5;0,5;1,4;0,7;0,1
158;Amazonas;Urbana;Pública;99,4;98,6;0,3;1,3;0,3;0,1
159;Amazonas;Rural;Pública;97,1;97,7;1,1;1,8;1,8;0,5
160;Roraima;Total;Total;98,9;98,4;0,4;0,8;0,7;0,8
161;Roraima;Urbana;Total;98,8;99,1;0,5;0,3;0,7;0,6
162;Roraima;Rural;Total;98,9;95,9;0,4;2,4;0,7;1,7
163;Roraima;Total;Federal;98,5;91,4;1,5;8,2;0,0;0,4
164;Roraima;Urbana;Federal;98,5;92,2;1,5;6,6;0,0;1,2
165;Roraima;Rural;Federal;;91,1;;8,7;;0,2
166;Roraima;Total;Estadual;98,9;98,6;0,4;0,6;0,7;0,8
167;Roraima;Urbana;Estadual;99,2;99,1;0,3;0,3;0,5;0,6
